Well	strain	mutant	phage	antibiotic	antibiotic_concentration(ug.ml)
A1	E. faecalis Yi6	Wild Type	Wild Type	Vancomycin	0
A2	E. faecalis Yi6	Wild Type	Wild Type	Vancomycin	0
A3	E. faecalis Yi6	Wild Type	Wild Type	Vancomycin	0
A4	E. faecalis Yi6	Wild Type	Wild Type	Vancomycin	1
A5	E. faecalis Yi6	Wild Type	Wild Type	Vancomycin	5
A6	E. faecalis Yi6	Wild Type	Wild Type	Vancomycin	10
A7	E. faecalis Yi6	Wild Type	Wild Type	Vancomycin	50
A8	E. faecalis Yi6	Wild Type	Wild Type	Vancomycin	100
A9	E. faecalis DP11	mutant	SDS2.2	Vancomycin	0
A10	E. faecalis DP11	Wild Type	Wild Type	Vancomycin	0
A11	E. faecalis Yi6	mutant	CCS3.1	Vancomycin	0
A12	E. faecalis Yi6	mutant	CCS2.1	Vancomycin	0
B1	E. faecalis Yi6	mutant	SDS1.5	Vancomycin	0
B2	E. faecalis Yi6	mutant	SDS1.5	Vancomycin	0
B3	E. faecalis Yi6	mutant	SDS1.5	Vancomycin	0
B4	E. faecalis Yi6	mutant	SDS1.5	Vancomycin	1
B5	E. faecalis Yi6	mutant	SDS1.5	Vancomycin	5
B6	E. faecalis Yi6	mutant	SDS1.5	Vancomycin	10
B7	E. faecalis Yi6	mutant	SDS1.5	Vancomycin	50
B8	E. faecalis Yi6	mutant	SDS1.5	Vancomycin	100
B9	E. faecalis DP11	mutant	SDS2.2	Vancomycin	0
B10	E. faecalis DP11	Wild Type	Wild Type	Vancomycin	0
B11	E. faecalis Yi6	mutant	CCS3.1	Vancomycin	0
B12	E. faecalis Yi6	mutant	CCS2.1	Vancomycin	0
C1	E. faecalis Yi6	mutant	SDS1.6	Vancomycin	0
C2	E. faecalis Yi6	mutant	SDS1.6	Vancomycin	0
C3	E. faecalis Yi6	mutant	SDS1.6	Vancomycin	0
C4	E. faecalis Yi6	mutant	SDS1.6	Vancomycin	1
C5	E. faecalis Yi6	mutant	SDS1.6	Vancomycin	5
C6	E. faecalis Yi6	mutant	SDS1.6	Vancomycin	10
C7	E. faecalis Yi6	mutant	SDS1.6	Vancomycin	50
