Well	strain	mutant	phage	replicate	antibiotic	antibiotic_concentration(ug.ml)
A1	E. faecalis DP11	mutant	Ump2	1	Vancomycin	0
A2	E. faecalis DP11	mutant	Ump1	1	Vancomycin	0
A3	E. faecalis DP11	mutant	SDS2.1	1	Vancomycin	0
A4	E. faecalis DP11	mutant	SDS1.2	1	Vancomycin	0
A5	E. faecalis DP11	mutant	Ump2	2	Vancomycin	0
A6	E. faecalis DP11	mutant	Ump1	2	Vancomycin	0
A7	E. faecalis DP11	Wild Type	Wild Type	1	Vancomycin	0
A8	E. faecalis Yi6	mutant	CCS3.1	1	Vancomycin	0
A9	E. faecalis Yi6	mutant	CCS3.1	2	Vancomycin	0
A10	E. faecalis Yi6	mutant	CCS2.1	1	Vancomycin	0
A11	E. faecalis Yi6	mutant	CCS2.1	2	Vancomycin	0
A12	E. faecalis Yi6	Wild Type	Wild Type	1	Vancomycin	0
B1	E. faecalis DP11	mutant	Ump2	1	Vancomycin	5
B2	E. faecalis DP11	mutant	Ump1	1	Vancomycin	5
B3	E. faecalis DP11	mutant	SDS2.1	1	Vancomycin	5
B4	E. faecalis DP11	mutant	SDS1.2	1	Vancomycin	5
B5	E. faecalis DP11	mutant	Ump2	2	Vancomycin	5
B6	E. faecalis DP11	mutant	Ump1	2	Vancomycin	5
B7	E. faecalis DP11	Wild Type	Wild Type	1	Vancomycin	5
B8	E. faecalis Yi6	mutant	CCS3.1	1	Vancomycin	5
B9	E. faecalis Yi6	mutant	CCS3.1	2	Vancomycin	5
B10	E. faecalis Yi6	mutant	CCS2.1	1	Vancomycin	5
B11	E. faecalis Yi6	mutant	CCS2.1	2	Vancomycin	5
B12	E. faecalis Yi6	Wild Type	Wild Type	1	Vancomycin	5
C1	E. faecalis DP11	mutant	Ump2	1	Vancomycin	7.5
C2	E. faecalis DP11	mutant	Ump1	1	Vancomycin	7.5
C3	E. faecalis DP11	mutant	SDS2.1	1	Vancomycin	7.5
C4	E. faecalis DP11	mutant	SDS1.2	1	Vancomycin	7.5
C5	E. faecalis DP11	mutant	Ump2	2	Vancomycin	7.5
C6	E. faecalis DP11	mutant	Ump1	2	Vancomycin	7.5
C7	E. faecalis DP11	Wild Type	Wild Type	1	Vancomycin	7.5
C8	E. faecalis Yi6	mutant	CCS3.1	1	Vancomycin	7.5
C9	E. faecalis Yi6	mutant	CCS3.1	2	Vancomycin	7.5
C10	E. faecalis Yi6	mutant	CCS2.1	1	Vancomycin	7.5
C11	E. faecalis Yi6	mutant	CCS2.1	2	Vancomycin	7.5
C12	E. faecalis Yi6	Wild Type	Wild Type	1	Vancomycin	7.5
D1	E. faecalis DP11	mutant	Ump2	1	Vancomycin	10
D2	E. faecalis DP11	mutant	Ump1	1	Vancomycin	10
D3	E. faecalis DP11	mutant	SDS2.1	1	Vancomycin	10
D4	E. faecalis DP11	mutant	SDS1.2	1	Vancomycin	10
D5	E. faecalis DP11	mutant	Ump2	2	Vancomycin	10
D6	E. faecalis DP11	mutant	Ump1	2	Vancomycin	10
D7	E. faecalis DP11	Wild Type	Wild Type	1	Vancomycin	10
D8	E. faecalis Yi6	mutant	CCS3.1	1	Vancomycin	10
D9	E. faecalis Yi6	mutant	CCS3.1	2	Vancomycin	10
D10	E. faecalis Yi6	mutant	CCS2.1	1	Vancomycin	10
D11	E. faecalis Yi6	mutant	CCS2.1	2	Vancomycin	10
D12	E. faecalis Yi6	Wild Type	Wild Type	1	Vancomycin	10
E1	E. faecalis DP11	mutant	Ump2	1	Vancomycin	20
E2	E. faecalis DP11	mutant	Ump1	1	Vancomycin	20
E3	E. faecalis DP11	mutant	SDS2.1	1	Vancomycin	20
E4	E. faecalis DP11	mutant	SDS1.2	1	Vancomycin	20
E5	E. faecalis DP11	mutant	Ump2	2	Vancomycin	20
E6	E. faecalis DP11	mutant	Ump1	2	Vancomycin	20
E7	E. faecalis DP11	Wild Type	Wild Type	1	Vancomycin	20
E8	E. faecalis Yi6	mutant	CCS3.1	1	Vancomycin	20
E9	E. faecalis Yi6	mutant	CCS3.1	2	Vancomycin	20
E10	E. faecalis Yi6	mutant	CCS2.1	1	Vancomycin	20
E11	E. faecalis Yi6	mutant	CCS2.1	2	Vancomycin	20
E12	E. faecalis Yi6	Wild Type	Wild Type	1	Vancomycin	20
F1	E. faecalis DP11	mutant	Ump2	1	Vancomycin	30
F2	E. faecalis DP11	mutant	Ump1	1	Vancomycin	30
F3	E. faecalis DP11	mutant	SDS2.1	1	Vancomycin	30
F4	E. faecalis DP11	mutant	SDS1.2	1	Vancomycin	30
F5	E. faecalis DP11	mutant	Ump2	2	Vancomycin	30
F6	E. faecalis DP11	mutant	Ump1	2	Vancomycin	30
F7	E. faecalis DP11	Wild Type	Wild Type	1	Vancomycin	30
F8	E. faecalis Yi6	mutant	CCS3.1	1	Vancomycin	30
F9	E. faecalis Yi6	mutant	CCS3.1	2	Vancomycin	30
F10	E. faecalis Yi6	mutant	CCS2.1	1	Vancomycin	30
F11	E. faecalis Yi6	mutant	CCS2.1	2	Vancomycin	30
F12	E. faecalis Yi6	Wild Type	Wild Type	1	Vancomycin	30
G1	E. faecalis DP11	mutant	Ump2	1	Vancomycin	40
G2	E. faecalis DP11	mutant	Ump1	1	Vancomycin	40
G3	E. faecalis DP11	mutant	SDS2.1	1	Vancomycin	40
G4	E. faecalis DP11	mutant	SDS1.2	1	Vancomycin	40
G5	E. faecalis DP11	mutant	Ump2	2	Vancomycin	40
G6	E. faecalis DP11	mutant	Ump1	2	Vancomycin	40
G7	E. faecalis DP11	Wild Type	Wild Type	1	Vancomycin	40
G8	E. faecalis Yi6	mutant	CCS3.1	1	Vancomycin	40
G9	E. faecalis Yi6	mutant	CCS3.1	2	Vancomycin	40
G10	E. faecalis Yi6	mutant	CCS2.1	1	Vancomycin	40
G11	E. faecalis Yi6	mutant	CCS2.1	2	Vancomycin	40
G12	E. faecalis Yi6	Wild Type	Wild Type	1	Vancomycin	40
H1	E. faecalis DP11	mutant	Ump2	1	Vancomycin	50
H2	E. faecalis DP11	mutant	Ump1	1	Vancomycin	50
H3	E. faecalis DP11	mutant	SDS2.1	1	Vancomycin	50
H4	E. faecalis DP11	mutant	SDS1.2	1	Vancomycin	50
H5	E. faecalis DP11	mutant	Ump2	2	Vancomycin	50
H6	E. faecalis DP11	mutant	Ump1	2	Vancomycin	50
H7	E. faecalis DP11	Wild Type	Wild Type	1	Vancomycin	50
H8	E. faecalis Yi6	mutant	CCS3.1	1	Vancomycin	50
H9	E. faecalis Yi6	mutant	CCS3.1	2	Vancomycin	50
H10	E. faecalis Yi6	mutant	CCS2.1	1	Vancomycin	50
H11	E. faecalis Yi6	mutant	CCS2.1	2	Vancomycin	50
H12	E. faecalis Yi6	Wild Type	Wild Type	1	Vancomycin	50
